family	allmb_name	gbif_species_key	num_occurrences	crop_state	myco_state	woody_state
Asteraceae	Artemisia_borealis	8122301	582		neither	
Asteraceae	Leptosyne_bigelovii	9525084	585			non-woody
Asteraceae	Richteria_pyrethroides	5389430	608		arbuscular	
Asteraceae	Taraxacum_arcticum	5394461	614		neither	
Asteraceae	Porophyllum_lanceolatum	3103995	616			ancestral
Asteraceae	Leptosyne_gigantea	3134001	621			derived
Asteraceae	Senecio_filaginoides	3108649	638			derived
Asteraceae	Tanacetum_coccineum	3118616	645		neither	
Asteraceae	Pegolettia_retrofracta	3139183	656			derived
Asteraceae	Tanacetum_cinerariifolium	3118284	656		arbuscular	
Asteraceae	Carlina_salicifolia	3105400	696			derived
Asteraceae	Syncarpha_milleflora	3131924	708			derived
Asteraceae	Phonus_arborescens	3138372	725			derived
Asteraceae	Noticastrum_marginatum	3110254	759			derived
Asteraceae	Ptilostemon_chamaepeuce	3096862	772			derived
Asteraceae	Echinops_spinosissimus	5392840	787		neither	
Asteraceae	Packera_cymbalaria	3113982	795		neither	
Asteraceae	Senecio_burchellii	3107727	796			derived
Asteraceae	Pluchea_dentex	3132656	818			non-woody
Asteraceae	Helichrysum_zeyheri	3131741	819			derived
Asteraceae	Hazardia_squarrosa	5389275	843			derived
Asteraceae	Streptoglossa_decurrens	3127352	871			derived
Asteraceae	Helichrysum_filicaule	3131313	895			non-woody
Asteraceae	Syncarpha_vestita	3149783	907			non-woody
Asteraceae	Helichrysum_rugulosum	3132033	908			derived
Asteraceae	Calea_jamaicensis	3147667	919			derived
Asteraceae	Brickellia_tomentella	5388336	923			derived
Asteraceae	Amblyopappus_pusillus	3140179	934			non-woody
Asteraceae	Viguiera_stenoloba	9292233	945			ancestral
Asteraceae	Coreopsis_mutica_var._carnosifolia	8872556	958			derived
Asteraceae	Peucephyllum_schottii	3151869	966			derived
Asteraceae	Bidens_segetum	5391954	978			derived
Asteraceae	Streptoglossa_odora	3127351	980			non-woody
Asteraceae	Isocoma_acradenia_var._eremophila	3099243	990			non-woody
Asteraceae	Pluchea_dioscoridis	3132635	1003			derived
Asteraceae	Hilliardiella_oligocephala	3124745	1030			non-woody
Asteraceae	Chrysactinia_mexicana	3151386	1039			derived
Asteraceae	Launaea_lanifera	3144842	1122			derived
Asteraceae	Ursinia_anthemoides	3089033	1129		arbuscular	
Asteraceae	Eriophyllum_staechadifolium	6443404	1132			derived
Asteraceae	Tarchonanthus_camphoratus	3141279	1170		arbuscular	
Asteraceae	Chrysanthemum_zawadskii	3150753	1171		arbuscular	
Asteraceae	Pluchea_indica	3132728	1201			derived
Asteraceae	Senecio_spartioides	3107552	1205			ancestral
Asteraceae	Hieracium_echioides	9457353	1216		arbuscular	
Asteraceae	Aster_albescens_var._albescens	5387533	1230			derived
Asteraceae	Flaveria_bidentis	3086861	1235			non-woody
