allmb_name	gbif_species_key	num_occurrences	myco_state
Polygala_penaea	4050594	370	arbuscular
Securidaca_diversifolia	5421445	2401	arbuscular
Bredemeyera_laurifolia	7293385	396	arbuscular
Polygala_serpyllifolia	3191414	43035	arbuscular
Carpolobia_alba	4049539	1290	arbuscular
Moutabea_guianensis	4051471	624	arbuscular
Xanthophyllum_flavescens	7580773	1073	arbuscular
Recchia_mexicana	7898222	98	arbuscular
Viscainoa_geniculata	7285858	445	arbuscular
Tribulus_cistoides	5421117	3712	neither
Balanites_aegyptiacus	5421115	6203	arbuscular
Tribulus_terrestris	5421116	17464	arbuscular
Guaiacum_sanctum	3189908	2147	neither
Larrea_tridentata	5421118	21622	arbuscular
Krameria_paucifolia	5687589	61	arbuscular
Krameria_erecta	5421448	1883	neither
Sisymbrium_irio	3046851	19095	arbuscular
Sisymbrium_altissimum	3046736	24438	neither
Thlaspi_montanum	9170718	109	arbuscular
Thlaspi_perfoliatum	3050631	36583	neither
Noccaea_caerulescens	3045463	30528	arbuscular
Cochlearia_groenlandica	5373235	2696	neither
Cochlearia_danica	5373254	38064	arbuscular
Arabidopsis_arenosa	3052509	29984	arbuscular
Arabidopsis_thaliana	3052436	130903	neither
Rorippa_islandica	3053144	13887	arbuscular
Rorippa_palustris	3053168	102352	neither
Lepidium_didymum	5377060	37029	arbuscular
Lepidium_ruderale	5376616	24094	neither
Lepidium_bidentatum	5377075	585	arbuscular
Lepidium_draba	5376961	34566	neither
Atamisquea_emarginata	7717320	216	arbuscular
Cynophalla_flexuosa	3873525	3650	neither
Maerua_angolensis	7273321	1921	arbuscular
Maerua_filiformis	3871641	211	neither
Boscia_angustifolia	5602553	876	arbuscular
Boscia_oleoides	5602447	162	neither
Azima_tetracantha	3796625	1062	arbuscular
Batis_maritima	5414196	2208	neither
Carica_papaya	2874484	5960	arbuscular
Cardamine_pratensis	7972010	364293	neither
Tropaeolum_majus	2889934	9098	arbuscular
Gonystylus_bancanus	3568838	185	arbuscular
Thymelaea_hirsuta	5523602	12737	neither
Daphne_laureola	5420853	40330	arbuscular
Muntingia_calabura	3152036	4687	arbuscular
Malva_sylvestris	3152374	92433	arbuscular
Sida_ammophila	5617250	1755	neither
Tilia_americana	3152042	10702	ecto
Bixa_orellana	2874863	5810	arbuscular
Helianthemum_oelandicum	7331276	19513	both
Cistus_ladanifer_subsp._sulcatus	6437976	557043	ecto
Perrottetia_longistylis	7688073	521	arbuscular
Pistacia_lentiscus	3190583	172416	arbuscular
Picramnia_antidesma	7329570	1562	arbuscular
Euscaphis_japonica	9464189	4027	arbuscular
Staphylea_bumalda	7326549	5759	arbuscular
Staphylea_pinnata	3686235	2361	neither
Ixerba_brexioides	3932625	3064	arbuscular
Anogeissus_leiocarpa	3698332	8848	arbuscular
Eucalyptus_obliqua	3176354	35280	ecto
Chamerion_angustifolium	8053718	320944	neither
Epilobium_montanum	3664083	166433	arbuscular
Bersama_abyssinica	3845259	1647	arbuscular
Geranium_lucidum	2890560	28970	neither
Geranium_dissectum	2890040	154801	arbuscular
Parthenocissus_inserta	3039193	19625	arbuscular
Sedum_adolphii	5690070	54	arbuscular
Echeveria_elegans	8315197	63	neither
Sedum_sarmentosum	5362004	2484	arbuscular
Sedum_alpestre	7334006	5966	neither
Aeonium_decorum	7334101	167	arbuscular
Sedum_rupestre			neither
Phedimus_hybridus	4201668	2511	arbuscular
Phedimus_spurius	4201607	21570	neither
Kalanchoe_delagoensis	2985940	2848	arbuscular
Kalanchoe_beharensis	4200862	223	neither
Crassula_rupestris	7557934	445	arbuscular
Crassula_perfoliata_var._minor	7172987	474	neither
Crassula_schimperi_subsp._schimperi	7334642	286	arbuscular
Crassula_aquatica	7565449	4936	neither
Orfilea_neraudiana	3054797	11	arbuscular
Myriophyllum_spicatum	5361760	66528	neither
Proserpinaca_palustris	2984291	2379	arbuscular
Saxifraga_granulata	7887000	85931	arbuscular
Saxifraga_cespitosa	3032796	13723	neither
Saxifraga_bronchialis	3032717	3972	arbuscular
Micranthes_foliolosa	5567695	3517	arbuscular
Micranthes_stellaris	5567578	31722	neither
Ribes_rubrum	2986097	99980	arbuscular
Chrysosplenium_oppositifolium	7526486	60507	neither
Itea_parviflora	5617117	937	arbuscular
Liquidambar_styraciflua	3152824	10513	arbuscular
Sedum_album	5362008	103540	neither
Soyauxia_gabonensis	3874443	329	arbuscular
Aucuba_japonica	3033077	5894	arbuscular
Galeopsis_tetrahit	5341300	246194	neither
Thymbra_capitata	5607804	48561	ecto
Plantago_lanceolata	8208358	717148	arbuscular
Eupatorium_cannabinum	5402943	248717	arbuscular
Cosmos_bipinnatus	3098912	4797	neither
Helichrysum_stoechas	7518700	45018	arbuscular
Gnaphalium_uliginosum	5390848	142673	arbuscular
Gnaphalium_supinum			neither
Phagnalon_rupestre	3150037	11558	arbuscular
Pulicaria_dysenterica	3095609	104696	arbuscular
Solidago_virgaurea	6446462	237003	arbuscular
Conyza_canadensis	3146791	196827	neither
Baccharis_salicifolia	3129643	8273	arbuscular
Tripolium_pannonicum	3098616	60945	arbuscular
Olearia_rani	5405099	4656	arbuscular
Artemisia_arenaria	3121476	170	arbuscular
Artemisia_borealis	8122301	582	neither
Artemisia_songarica	7777804	40	arbuscular
Artemisia_dracunculus	3121581	5499	arbuscular
Artemisia_armeniaca	8366310	288	arbuscular
Artemisia_annua	8373355	5986	arbuscular
Artemisia_maritima	7879222	6617	neither
Artemisia_pontica	8195160	1287	arbuscular
Artemisia_ludoviciana	3120950	9616	arbuscular
Artemisia_marschalliana	6064178	388	arbuscular
Chrysanthemum_zawadskii	3150753	1171	arbuscular
Glebionis_segetum	3141101	26860	arbuscular
Achillea_nobilis	3120024	5184	arbuscular
Achillea_setacea	3120066	1350	neither
Otanthus_maritimus	8278487	3380	arbuscular
Matricaria_chamomilla_var._recutita	8370958	140319	neither
Matricaria_matricarioides	3103791	200315	arbuscular
Tanacetum_balsamita	3118254	1284	arbuscular
Tanacetum_parthenifolium	3118514	410	neither
Tanacetum_cinerariifolium	3118284	656	arbuscular
Tanacetum_coccineum	3118616	645	neither
Tanacetum_corymbosum_subsp._corymbosum	3118216	31204	arbuscular
Anthemis_cotula	8035698	19771	arbuscular
Anthemis_cretica_subsp._argaea	7839493	4529	neither
Anthemis_arvensis	3102781	56715	arbuscular
Tripleurospermum_maritimum_subsp._inodorum	3104179	150089	arbuscular
Cota_tinctoria_subsp._subtinctoria	5390618	32602	arbuscular
Richteria_pyrethroides	5389430	608	arbuscular
Ursinia_anthemoides	3089033	1129	arbuscular
Doronicum_macrophyllum	8292300	155	arbuscular
Senecio_viscosus	3107855	67526	arbuscular
Packera_cymbalaria	3113982	795	neither
Tephroseris_atropurpurea	3130950	4702	arbuscular
Tephroseris_palustris_subsp._congesta	7363445	6380	neither
Ligularia_vellerea	5395551	239	arbuscular
Petasites_spurius	7675973	2248	arbuscular
Petasites_hybridus	3088301	69849	neither
Brachyglottis_repanda	3138474	5986	arbuscular
Lapsana_communis	3134857	268608	arbuscular
Taraxacum_arcticum	5394461	614	neither
Scorzoneroides_autumnalis	3133512	255950	arbuscular
Chondrilla_juncea	8537667	27467	arbuscular
Sonchus_oleraceus	8228544	239932	arbuscular
Lactuca_serriola	3140490	146759	arbuscular
Cicerbita_alpina	3087634	18263	neither
Hieracium_echioides	9457353	1216	arbuscular
Hieracium_vulgatum	7777868	7655	neither
Hieracium_umbellatum	3135329	110444	arbuscular
Pilosella_officinarum	7874303	332942	arbuscular
Cichorium_endivia	5392243	2261	arbuscular
Tragopogon_pratensis	5386897	144038	arbuscular
Epilasia_hemilasia	3096136	78	neither
Scorzonera_humilis	3111049	63522	arbuscular
Gymnanthemum_amygdalinum	3130899	2323	arbuscular
Centaurea_jacea	3128547	301293	arbuscular
Centaurea_pulchella	3128723	270	neither
Carthamus_tinctorius	3138327	10348	arbuscular
Rhaponticoides_ruthenica	3128403	169	arbuscular
Serratula_tinctoria_subsp._tinctoria	5388835	44927	arbuscular
Saussurea_alpina	5404542	31949	arbuscular
Saussurea_nuda	5404462	314	neither
Arctium_minus	5393103	116310	arbuscular
Cousinia_microcarpa	3101933	215	arbuscular
Cirsium_arvense	3113414	573171	arbuscular
Cirsium_brevipapposum	9289510	1	neither
Carduus_nutans	8185959	50669	arbuscular
Cynara_cardunculus	3112364	6968	arbuscular
Carlina_vulgaris	3105380	90144	arbuscular
Echinops_sphaerocephalus	5392883	12425	arbuscular
Echinops_spinosissimus	5392840	787	neither
Tarchonanthus_camphoratus	3141279	1170	arbuscular
Moquiniastrum_polymorphum	7575247	2798	arbuscular
Dasyphyllum_brasiliense	5389251	1253	arbuscular
Dampiera_stricta	7262323	9959	arbuscular
Alseuosmia_macrophylla	3686201	3008	arbuscular
Campanula_fragilis	5410186	280	arbuscular
Campanula_scheuchzeri	5410226	22548	both
Campanula_lasiocarpa	5411731	1912	arbuscular
Campanula_patula	5410564	77588	arbuscular
Campanula_rapunculoides	5410436	54140	arbuscular
