allmb_name	gbif_species_key	num_occurrences	woody_state
Arabis_hirsuta	9202524	63439	non-woody
Botschantzevia_karatavica	3050742	9	derived
Stevenia_canescens	7682192	21	derived
Stevenia_maximowiczii	3052553	327	non-woody
Stevenia_dahurica	3045086	36	derived
Alyssum_montanum	3044912	8830	derived
Alyssum_desertorum	3044743	2175	non-woody
Alyssum_tetrastemon	3044851	18	derived
Alyssum_dasycarpum	3045148	148	non-woody
Alyssum_lenense	3045096	378	derived
Alyssum_niveum	3044753	4	derived
Alyssum_caespitosum	3044774	22	derived
Alyssum_serpyllifolium	3044979	3652	derived
Alyssum_alyssoides	3044855	40836	non-woody
Alyssum_troodi	3045067	65	derived
Fibigia_umbellata	3051671	58	derived
Fibigia_clypeata	3051652	1638	non-woody
Alyssoides_cretica	3050537	136	derived
Hormathophylla_spinosa	3050712	3702	derived
Bornmuellera_tymphaea	3047125	105	derived
Aurinia_saxatilis	5377778	3892	derived
Berteroa_incana	3053522	39710	non-woody
Rhammatophyllum_pachyrhizum	3040770	28	derived
Euclidium_syriacum	3049314	1084	non-woody
Matthiola_incana	5377378	3452	derived
Matthiola_fruticulosa	5377429	7123	derived
Matthiola_parviflora	3053061	207	non-woody
Matthiola_torulosa	5377351	69	derived
Matthiola_longipetala	5377395	2408	non-woody
Iskandera_hissarica	3044435	3	derived
Parrya_albida	3053827	21	derived
Chorispora_tenella	3044349	2813	non-woody
Erysimum_scoparium	3048534	633	derived
Erysimum_subulatum	3048635	67	non-woody
Erysimum_senoneri	3048489	286	derived
Erysimum_perofskianum	3048131	152	non-woody
Erysimum_crassipes	3048616	435	derived
Erysimum_crepidifolium	3048522	1446	non-woody
Erysimum_maderense	3048057	37	derived
Erysimum_cheiranthoides	3048266	67021	non-woody
Boechera_formosa	3043531	157	derived
Boechera_lemmonii	3043593	920	non-woody
Boechera_lincolnensis	3043467	92	derived
Boechera_glaucovalvula	3043528	68	non-woody
Boechera_koehleri	3043299	142	derived
Boechera_perennans	3043206	1133	non-woody
Boechera_pulchra_var._pallens	3043531	157	derived
Boechera_stricta	3043392	3200	non-woody
Pachycladon_cheesemanii	5552489	101	derived
Stenopetalum_decipiens	3042367	376	derived
Stenopetalum_nutans	3042358	722	non-woody
Arabidella_trisecta	3040450	1208	derived
Harmsiodoxa_blennodioides	3041953	1534	non-woody
Physaria_fendleri	3049236	1534	derived
Physaria_ludoviciana	3048930	926	non-woody
Lyrocarpa_coulteri	3040711	386	derived
Dithyrea_californica	3053543	1004	non-woody
Lepidium_foliosum	5376605	729	derived
Lepidium_didymum	5377060	37029	non-woody
Lepidium_alyssoides	5377012	775	derived
Lepidium_virginicum	5376648	29225	non-woody
Lepidium_naufragorum	5376490	23	derived
Lepidium_phlebopetalum	5376550	3483	derived
Lepidium_squamatum	5376627	32261	non-woody
Lepidium_oblitum	9153012	30	derived
Cyphocardamum_aretioides	3042380	3	derived
Delpinophytum_patagonicum	3043050	25	derived
Descurainia_millefolia	3044107	354	derived
Descurainia_pinnata	3044133	6115	non-woody
Lobularia_canariensis_subsp._marginata	5373341	1152	derived
Lobularia_canariensis_subsp._canariensis	5373341	1152	non-woody
Diceratella_elliptica	5374684	91	derived
Anastatica_hierochuntica	3041976	583	non-woody
Parolinia_ornata	5377800	99	derived
Farsetia_stylosa	3047985	1136	derived
Lobularia_maritima	5373358	24980	non-woody
Aethionema_saxatile	3051094	4026	derived
Cardamine_dentata	7972010	364293	non-woody
Cleome_anomala	3871537	342	derived
Cleome_rutidosperma	9778787	2661	non-woody
Cleome_viridiflora	3873199	465	derived
Andinocleome_lechleri	7544780	144	derived
Andinocleome_pilosa	7499107	513	non-woody
Cleomella_arborea	7893492	2547	derived
Cleomella_serrulata	8145885	1858	non-woody
Reseda_scoparia	3916652	280	derived
Reseda_lutea	3040252	78363	non-woody
Reseda_viridis	3916513	22	derived
Ochradenus_baccatus	7275957	1284	derived
Ochradenus_arabicus	3916558	130	non-woody
Randonia_africana	3916683	189	derived
Malva_australiana	3935002	2236	derived
Malva_sylvestris	3152374	92433	non-woody
Malva_dendromorpha	3935079	7012	derived
Malva_wigandii	7279633	4431	derived
Malva_pacifica	3933211	75	derived
Dendrosida_sharpiana_subsp._pubescens	7279020	108	derived
Gossypium_hirsutum	3152661	23610	ancestral
Geranium_multiflorum	2890222	209	derived
Geranium_richardsonii	2890865	3143	non-woody
Geranium_cuneatum	2889996	416	derived
Geranium_bicknellii	2890075	2356	non-woody
Geranium_exallum	2890622	7	derived
Geranium_robertianum	2890668	388659	non-woody
Pelargonium_tragacanthoides	3826726	66	derived
Pelargonium_dolomiticum	3829055	180	non-woody
Pelargonium_antidysentericum	7268493	38	derived
Pelargonium_myrrhifolium	3827650	794	non-woody
Pelargonium_grandicalcaratum	3827438	62	derived
Pelargonium_zonale	9609002	716	derived
Pelargonium_alchemilloides	8588196	986	non-woody
Pelargonium_odoratissimum	2891612	334	derived
Pelargonium_grossularioides	2891614	226	non-woody
Pelargonium_capitatum	9711656	879	derived
Pelargonium_luridum	3828518	1330	non-woody
Pelargonium_panduriforme	2891607	109	derived
Sedum_moranense	5362028	614	derived
Sedum_anglicum	5687974	19894	non-woody
Aeonium_korneliuslemsii	2985682	1019	derived
Aichryson_laxum	7334818	466	non-woody
Sedum_praealtum	5362012	301	derived
Sedum_acre	5362007	153241	non-woody
Kalanchoe_manginii	4199439	57	derived
Kalanchoe_petitiana	4199124	64	non-woody
Kalanchoe_laciniata	2985933	335	derived
Kalanchoe_pinnata	2985930	3404	non-woody
Kalanchoe_synsepala	4198436	134	derived
Kalanchoe_delagoensis	2985940	2848	non-woody
Kalanchoe_scapigera	4198712	9	derived
Kalanchoe_blossfeldiana	2985944	218	ancestral
Kalanchoe_beharensis	4200862	223	derived
Kalanchoe_crenata	6441622	1026	derived
Cotyledon_orbiculata	5361969	1861	derived
Bryophyllum_pinnatum	2985930	3404	non-woody
Crassula_rupestris	7557934	445	derived
Crassula_deceptor	5688947	109	ancestral
Crassula_perfoliata_var._minor	7172987	474	derived
Crassula_arborescens	7334487	183	derived
Crassula_aquatica	7565449	4936	non-woody
Crassula_tetragona	7172747	592	derived
Crassula_sarcocaulis_subsp._rupicola	7172895	431	ancestral
Crassula_sieberiana	5362057	14565	non-woody
Echium_aculeatum	4064880	624	derived
Echium_vulgare	2925892	131458	non-woody
Echium_gentianoides	4059020	66	derived
Lithodora_fruticosa	5661164	9962	derived
Neatostema_apulum	4061000	5546	non-woody
Glandora_prostrata	7294611	3245	derived
Lithospermum_officinale	2926086	23973	non-woody
Tiquilia_greggii	8544519	483	derived
Halgania_cyanea	7294436	4340	ancestral
Ehretia_cortesia	4059927	179	non-woody
Micromeria_hyssopifolia	7307035	723	derived
Micromeria_juliana	7774615	1294	ancestral
Salvia_leucantha	6411750	897	derived
Salvia_coccinea	9278365	3689	non-woody
Salvia_tortuosa	7306887	376	derived
Salvia_haenkei	3900835	219	derived
Salvia_regla	2927054	590	derived
Salvia_sessei	3887736	487	derived
Salvia_cuspidata	7309440	623	derived
Salvia_corrugata	3905260	268	derived
Salvia_sagittata	3888514	283	derived
Salvia_dominica	3903762	1021	derived
Salvia_sclarea	2927000	3508	non-woody
Salvia_canariensis	7306552	526	derived
Salvia_verbenaca	6409706	40727	non-woody
Salvia_africana	3886290	530	derived
Salvia_lyrata	2927027	4688	non-woody
Salvia_garipensis	8117604	124	derived
Salvia_fruticosa	6412283	1634	derived
Salvia_officinalis	2927004	11744	non-woody
Salvia_cabulica	7306582	29	derived
Salvia_dentata	3904157	150	derived
Salvia_lavandulifolia	2927004	11744	ancestral
Salvia_pratensis_subsp._pratensis	2927007	98246	non-woody
Lavandula_buchii	7307864	188	derived
Lavandula_multifida	3891203	3285	ancestral
Lavandula_pinnata	7894021	98	derived
Lavandula_canariensis_subsp._canariensis	7307851	884	derived
Lavandula_latifolia	2927304	50438	ancestral
Lagochilus_cuneatus	5608371	15	derived
Lagochilus_ilicifolius	7308219	64	non-woody
Otostegia_fruticosa_subsp._schimperi	7307811	230	derived
Leonotis_ocymifolia_var._schinzii	7307634	1847	derived
Acrotome_inflata	3893741	426	non-woody
Moluccella_olgae	7762981	45	derived
Moluccella_laevis	2926881	648	non-woody
Acanthoprasium_frutescens	3895799	792	derived
Ballota_hirsuta	8376275	6959	ancestral
Ballota_nigra_subsp._uncinata	2926894	65125	non-woody
Phlomis_purpurea	7307046	28818	derived
Phlomis_crinita_subsp._malacitana	7307299	2551	ancestral
Phlomis_lychnitis	3887383	127734	derived
Phlomoides_rotata	7980234	206	non-woody
Sideritis_barbellata	3892304	36	derived
Sideritis_cretica_subsp._spicata	7862362	223	derived
Sideritis_romana	2926687	5939	non-woody
Phyllostegia_grandiflora	2926448	256	derived
Prasium_majus	3898574	3605	ancestral
Stachys_sylvatica	2927282	232167	non-woody
Castilleja_grisea	3170640	130	derived
Castilleja_miniata	3170719	5563	non-woody
Brandisia_hancei	3732880	494	derived
Melampyrum_pratense	7693914	169928	non-woody
Alectra_fruticosa	3724724	27	derived
Alectra_sessiliflora	7331592	2329	non-woody
Cyclocheilon_somaliense	3570693	33	derived
Radamaea_perrieri	3724548	29	derived
Erythranthe_parviflora	8379486	19	derived
Erythranthe_guttata	7346102	11643	non-woody
Diplacus_puniceus	5414624	1182	derived
Diplacus_douglasii	7551308	380	non-woody
Diplacus_aridus	5414620	51	derived
Diplacus_aurantiacus	5414628	4897	derived
Diplacus_mephiticus	8054934	695	non-woody
Hemichaena_coulteri	3725222	80	derived
Ruellia_foetida	5574618	320	derived
Ruellia_patula	5573538	1061	non-woody
Ruellia_jaliscana	5574236	74	derived
Ruellia_angustiflora	8317800	1701	derived
Ruellia_brevifolia	5415377	2094	non-woody
Ruellia_parryi	5415413	163	derived
Ruellia_nudiflora	5415380	2627	non-woody
Ruellia_brevicaulis	5575074	128	derived
Ruellia_blechum	5415469	3856	non-woody
Scrophularia_libanotica_subsp._libanotica	7332837	136	derived
