allmb_name	crop_state	gbif_species_key	myco_state	num_occurrences	woody_state
Carex_sylvatica		2722602	neither	158961	
Carex_vaginata		2725816	neither	49072	
Carex_vulpinoidea		2728060	arbuscular	10330	
Carica_papaya		2874484	arbuscular	5960	
Carlina_falcata		3105401		32	derived
Carlina_salicifolia		3105400		696	derived
Carlina_vulgaris		3105380	arbuscular	90144	non-woody
Carmichaelia_australis		5348429	neither	2149	derived
Caroxylon_cyclophyllum		3759615		138	derived
Caroxylon_dendroides		9626002		204	ancestral
Caroxylon_vermiculatum		9465030		3787	derived
Carpobrotus_edulis		3084842		7359	ancestral
Carpodetus_serratus		3932516	arbuscular	18050	
Carpolobia_alba		4049539	arbuscular	1290	
Carrichtera_annua		5375285		20245	non-woody
Carthamus_lanatus		9051760		23580	non-woody
Carthamus_tinctorius		3138327	arbuscular	10348	
Caryodaphnopsis_fosteri		4180147	arbuscular	73	
Cassia_fistula		5357108	arbuscular	2375	
Castanospermum_australe		2952129	arbuscular	1225	
Castilleja_grisea		3170640		130	derived
Castilleja_miniata		3170719		5563	non-woody
Catapodium_rigidum		2705228	arbuscular	35797	
Caustis_dioica		2718179	neither	419	
Caustis_flexuosa		2718189	arbuscular	5495	
Ceanothus_thyrsiflorus		3039379	ecto	1378	
Centaurea_diffusa		3128962		2137	non-woody
Centaurea_jacea		3128547	arbuscular	301293	
Centaurea_macrocephala		3129064		370	non-woody
Centaurea_ptosimopappa		3127659		38	derived
Centaurea_pulchella		3128723	neither	270	
Centaurea_spinosa		3128393		258	derived
Centaurium_erythraea		5414457		105200	non-woody
Centaurodendron_palmiforme		3098633		43	derived
Centauropsis_decaryi		3091980		21	derived
Centaurothamnus_maximus		3126503		34	derived
Centropodia_glauca		5680035	arbuscular	289	
Centrosema_pubescens		2964904	arbuscular	4855	
Cephalanthera_damasonium		2795952	ecto	42837	
Cephalanthera_longifolia		2795869	neither	43078	
Cephalophyllum_ebracteatum		3702923		78	non-woody
Cephalophyllum_herrei		3702866		44	derived
Cephalostachyum_pergracile		4123063	arbuscular	191	
Ceratonia_siliqua		5356354	arbuscular	35327	
Cercis_canadensis		5353583	arbuscular	10420	
Cercocarpus_ledifolius		8168453	ecto	1609	
Cevallia_sinuata		2874845		890	non-woody
Chamaecrista_adiantifolia		2950290	neither	456	
Chamaecrista_mimosoides		2949769	arbuscular	9981	
Chamerion_angustifolium		8053718	neither	320944	
Charpentiera_obovata		5384317		353	derived
Chascolytrum_subaristatum		4149785	arbuscular	3884	
Chaunanthus_petiolatus		3042385		66	derived
Cheirolophus_intybaceus_var._microcephalus		3097063		2166	derived
Chelonanthus_alatus		3844069		2878	non-woody
Chelone_glabra		5414935		4175	non-woody
Chenolea_diffusa		5568277		228	derived
Chenopodium_album		3083838		222830	non-woody
Chenopodium_auricomum		3757177		2167	derived
Chenopodium_nutans		7750992		25839	ancestral
Chenopodium_parabolicum		7719079		5896	derived
Chiliadenus_iphionoides		3089836		1888	derived
