taxon_name,decimal_longitude,gbif_id,decimal_latitude
Liquidambar_styraciflua,-117.862908,1426515359,33.6566769991292
Liquidambar_styraciflua,-96.152944,1897487472,17.310389
Liquidambar_styraciflua,-82.9608,1503276446,30.5236
Liquidambar_styraciflua,-95.947278,1897487537,17.1
Liquidambar_styraciflua,-96.002194,1897487518,16.997611
Liquidambar_styraciflua,-95.967667,1897487521,16.99325
Liquidambar_styraciflua,-96.928333,1897487543,18.170278
Liquidambar_styraciflua,-96.916667,1897487459,18.201417
Liquidambar_styraciflua,-81.6764,1503271427,29.9794
Liquidambar_styraciflua,-81.4286,1503270077,28.8192
Liquidambar_styraciflua,-81.2567,1503271489,28.7419
Liquidambar_styraciflua,-96.890583,1897487485,18.166056
Liquidambar_styraciflua,-96.759722,1897487468,18.085917
Liquidambar_styraciflua,138.723,992085462,-34.805
